category,rank,code,name,index_tag,score,annual_return,annual_return_1y,annual_return_3y,annual_volatility,sharpe,max_drawdown,calmar,avg_turnover,days,years,start_date,end_date
其他,14,sh.513550,华泰柏瑞中证港股通50ETF,华泰柏瑞中证港股通50ETF,0.4829117333361319,-0.015345382930178175,-0.06918819188191894,0.08315403342594863,0.22802263262900402,-0.1550082223096056,-0.4825828377230247,-0.031798443149330474,86367051.2,1318,5.23,2021-01-13,2026-06-26
其他,15,sh.513600,南方恒指ETF,南方恒指ETF,0.48232620342668736,0.025163136416752607,-0.1020263064344118,0.06316387528310097,0.21487007656273538,0.02402910865648215,-0.43295415374008955,0.05811963275875742,108464440.2,2771,11.0,2015-01-26,2026-06-26
其他,16,sz.159761,国泰中证新材料主题ETF,国泰中证新材料主题ETF,0.48072187181939185,-0.008545341581097876,0.9918032786885247,0.14471424255333187,0.27554906650721317,-0.10359440495636967,-0.6114965312190287,-0.013974472699072541,17742863.966816664,1097,4.35,2021-12-13,2026-06-26
其他,17,sh.513660,华夏沪港通恒生ETF,华夏沪港通恒生ETF,0.4805808315440063,0.029440517180071346,-0.09225589225589226,0.07486359739491721,0.20371701613590476,0.04634132857008537,-0.42181695373184735,0.06979453272233087,109984032.46666667,2769,10.99,2015-01-26,2026-06-26
其他,18,sh.513690,博时恒生高股息ETF,博时恒生高股息ETF,0.4795682603198856,0.017492270229198192,0.02399232245681371,0.10491612581022158,0.19462710585045373,-0.0128847919710047,-0.37751004016064255,0.046335907309259045,188069879.16666666,1236,4.9,2021-05-20,2026-06-26
其他,19,sh.513900,华安CES港股通精选100ETF,华安CES港股通精选100ETF,0.47955018600644667,-0.013552220953100047,-0.11892963330029727,0.025631891203603985,0.24452151625517365,-0.1372158224231122,-0.5303584491587418,-0.02555294626605209,43163329.916666664,1950,7.74,2018-05-25,2026-06-26
其他,20,sz.159790,华夏中证内地低碳经济主题ETF,华夏中证内地低碳经济主题ETF,0.47847286772006453,-0.06475753145550633,0.39154411764705865,0.01217981689998937,0.2581757255740978,-0.32829396050706744,-0.5723104056437389,-0.11315106420731,36903474.05043333,1181,4.69,2021-08-06,2026-06-26
其他,21,sh.513030,华安德国(DAX)ETF(QDII),华安德国(DAX)ETF(QDII),0.478340665392191,0.049894345313235,-0.06106052490626679,0.1349783508735587,0.19911208398475078,0.15013827747151948,-0.41515650741350907,0.1201820143060859,91806506.91666667,2864,11.37,2014-09-05,2026-06-26
其他,22,sz.159786,银华中证虚拟现实主题ETF,银华中证虚拟现实主题ETF,0.4740239319323936,0.07947169500569817,0.6619883040935672,0.23685288660796755,0.30300371900193057,0.19627381208914882,-0.5150732127476314,0.1542920366247752,21252856.816200003,1181,4.69,2021-08-06,2026-06-26
其他,23,sz.159201,华夏国证自由现金流ETF,华夏国证自由现金流ETF,0.4725628031606055,0.04493302506664798,0.05988023952095811,,0.1806219471965562,0.13803984207697303,-0.24520255863539442,0.18324859788050352,481989649.57336676,322,1.28,2025-02-27,2026-06-26
其他,24,sh.513990,招商上证港股通ETF,招商上证港股通ETF,0.47138106578145905,0.0010644207608252465,-0.0871143375680582,0.06792145345530454,0.2304985810926208,-0.08215052409179867,-0.48342764753435735,0.0022018202025766384,45876210.733333334,1417,5.62,2020-08-18,2026-06-26
其他,25,sz.159703,天弘中证新材料主题ETF,天弘中证新材料主题ETF,0.4687580939442939,0.022412155782408405,0.9575971731448767,0.11282763979033139,0.2744347574109951,0.008789541839250143,-0.6416097190584662,0.034931135107019964,6098772.148166668,1223,4.85,2021-06-08,2026-06-26
其他,26,sz.159638,嘉实中证高端装备细分50ETF,嘉实中证高端装备细分50ETF,0.4654476264869774,-0.01735139993775392,0.1785714285714286,0.031462143548497634,0.29778839143531305,-0.1254293350984018,-0.436676798378926,-0.039735108442141814,66521047.64136668,935,3.71,2022-08-12,2026-06-26
其他,27,sh.513530,华泰柏瑞中证港股通高股息投资ETF(QDII),华泰柏瑞中证港股通高股息投资ETF(QDII),0.46450485750117115,0.13841939580407647,-0.02195121951219503,0.11439796237210542,0.19362024305943057,0.611606482529455,-0.24671669793621012,0.5610459160727966,163119605.18333334,1010,4.01,2022-04-25,2026-06-26
其他,28,sz.159763,建信中证新材料主题ETF,建信中证新材料主题ETF,0.461890540708935,-0.027601539653750784,0.9385964912280702,0.1148348303950455,0.25834335930955493,-0.18425687341439717,-0.635576923076923,-0.04342753591512983,6852102.307416667,1155,4.58,2021-09-13,2026-06-26
其他,29,sz.159309,汇添富中证油气资源ETF,汇添富中证油气资源ETF,0.4604842839700951,0.15460818958530176,0.35410176531671866,,0.25313415760391084,0.5317662019992127,-0.2955159373311723,0.5231805464760394,76988149.63158332,490,1.94,2024-06-18,2026-06-26
其他,30,sz.159350,富国深证50ETF,富国深证50ETF,0.45994361474890955,0.25376606703646476,0.5188762071992976,,0.24430615903351974,0.9568570352923078,-0.2503649635036498,1.01358458262378,60535859.224916674,613,2.43,2023-12-11,2026-06-26
大宗商品,1,sh.517520,永赢中证沪深港黄金产业股票ETF,黄金产业股,0.5584515631358132,0.20576079584472096,0.06012024048096176,,0.37839367975993865,0.4909193936922301,-0.4932950191570882,0.41711508905221095,495625708.8666667,641,2.54,2023-11-01,2026-06-26
大宗商品,2,sz.159981,建信能源化工期货ETF,建信能源化工期货ETF,0.5552906822647825,0.058226713158894716,0.08675445391169645,-0.011150755197449347,0.25341155314068736,0.15084834406769235,-0.48355984217448494,0.12041263165497627,1189972512.7635837,1557,6.18,2020-01-17,2026-06-26
大宗商品,3,sh.518880,华安黄金ETF,黄金,0.5480084618181478,0.09780353171281497,0.1191143123916234,0.2433476301842148,0.1513707240738092,0.5139932585304774,-0.30384744623655907,0.32188367196830237,4272856107.6,3137,12.45,2013-07-29,2026-06-26
