code,name,days,start_date,end_date,years,annual_return,annual_return_1y,annual_return_3y,annual_volatility,sharpe,max_drawdown,calmar,avg_turnover
sz.159272,富国国证机器人产业ETF,181,2025-09-19,2026-06-26,0.72,-0.11831033973754201,-0.11831033973754201,,0.3099153307243691,-0.44628427840038587,-0.2088669950738915,-0.5664386548754963,131374995.37210001
sz.159273,汇添富中证沪港深云计算产业ETF,213,2025-08-06,2026-06-26,0.85,0.46348107081265444,0.46348107081265444,,0.37831471950862394,1.1722543373112,-0.17808219178082188,2.6026244745633678,47440797.22465001
sz.159275,华宝中证全指农牧渔ETF,175,2025-09-29,2026-06-26,0.69,-0.3458298486440158,-0.3458298486440158,,0.19046616291348722,-1.9207078204761312,-0.30131826741996237,-1.1477228101873271,13648185.220399996
sz.159276,汇添富国证自由现金流ETF,220,2025-07-28,2026-06-26,0.87,-0.00802210967618544,-0.00802210967618544,,0.17244578567838117,-0.1624980834756257,-0.2456273764258555,-0.03265967252069305,8605195.71895
sz.159277,富国中证港股通高股息投资ETF,207,2025-08-14,2026-06-26,0.82,-0.12373695951528185,-0.12373695951528185,,0.1363895379116925,-1.0538708592762192,-0.1563981042654028,-0.7911666199310449,5917654.862583335
sz.159278,鹏华国证机器人产业ETF,209,2025-08-12,2026-06-26,0.83,0.04526845642950117,0.04526845642950117,,0.3171553436356645,0.07967217622708124,-0.21728395061728403,0.2083377824312269,117969260.21223335
sz.159279,华安创业板人工智能ETF,175,2025-09-29,2026-06-26,0.69,1.1223633809701483,1.1223633809701483,,0.4273953057557048,2.5792594493310816,-0.12818096135721008,8.756084905950944,70605893.45643334
sz.159280,汇添富国证港股通互联网ETF,205,2025-08-18,2026-06-26,0.81,-0.4847368265369113,-0.4847368265369113,,0.28706598902417835,-1.758260629385808,-0.47445887445887447,-1.021662471989293,7200050.3461666675
sz.159281,天弘中证港股通央企红利ETF,194,2025-09-02,2026-06-26,0.77,-0.12087300792105182,-0.12087300792105182,,0.14358005950800076,-0.9811460477435022,-0.17023255813953483,-0.710046358006179,39686852.1992
sz.159283,南方中证通用航空主题ETF,202,2025-08-21,2026-06-26,0.8,-0.100540456740841,-0.100540456740841,,0.37068619022626187,-0.3251819461287854,-0.39224704336399474,-0.25631922137279733,15420823.578116667
sz.159285,华安国证港股通消费主题ETF,166,2025-10-20,2026-06-26,0.66,-0.3613769290724973,-0.3613769290724973,,0.1808989908227917,-2.1082313800528243,-0.2638888888888889,-1.3694283628010424,11599035.2669
sz.159286,鹏华国证港股通创新药ETF,194,2025-09-02,2026-06-26,0.77,-0.46947006405923586,-0.46947006405923586,,0.315775133467669,-1.5500589254262822,-0.40212150433944066,-1.1674831089434716,73772754.79893334
sz.159287,博时创业板综合ETF,198,2025-08-27,2026-06-26,0.79,0.3629111404334293,0.3629111404334293,,0.39532864537959644,0.8674077743700166,-0.23049132947976878,1.5745110293412734,9909057.207283335
sz.159297,南方国证港股通创新药ETF,180,2025-09-22,2026-06-26,0.71,-0.5012319795094434,-0.5012319795094434,,0.33678916172862755,-1.5476506928968017,-0.391566265060241,-1.280069363054886,174845774.08565003
sz.159298,大成创业板50ETF,190,2025-09-08,2026-06-26,0.75,0.691885889716128,0.691885889716128,,0.30532803704946204,2.200537809134393,-0.1280068728522337,5.405068292815925,7056786.844633332
sz.159299,易方达中证金融科技主题ETF,187,2025-09-11,2026-06-26,0.74,-0.418333005736941,-0.418333005736941,,0.32024441217391175,-1.368745211700681,-0.3730084348641049,-1.1215108470384827,19929264.91708333
sz.159300,富国沪深300ETF,498,2024-06-05,2026-06-26,1.98,0.21128877187600925,0.3076923076923075,,0.20073342599489413,0.9529492705458775,-0.18591772151898742,1.1364638623458536,60229843.38713333
sz.159301,华夏中证全指公用事业ETF,466,2024-07-22,2026-06-26,1.85,-0.02641032321927228,0.03275109170305668,,0.16817680281657812,-0.2759615026686508,-0.15686274509803935,-0.16836581052286065,24571993.451166663
sz.159302,银华中证港股高股息ETF,436,2024-09-02,2026-06-26,1.73,0.11801752350808559,-0.045124899274778474,,0.18385872329065994,0.5331132608439302,-0.1719077568134172,0.6865165696750832,7439945.095583333
sz.159303,大成恒生医疗保健ETF(QDII),482,2024-06-27,2026-06-26,1.91,0.18887737172107077,-0.18946047678795486,,0.3222958540750814,0.5239824514830075,-0.38568683957732947,0.48971692144865425,40493261.22144999
sz.159305,广发国证新能源电池ETF,418,2024-09-27,2026-06-26,1.66,0.39563518966001454,0.7032484635645302,,0.33817502227233476,1.110771538169702,-0.2494448556624722,1.586062733622195,92103852.61864999
sz.159307,博时中证红利低波100ETF,524,2024-04-25,2026-06-26,2.08,0.03055392828560577,-0.03916211293260485,,0.13874121419148333,0.07606916479078663,-0.13658536585365846,0.2236984035196138,105175086.67066666
sz.159309,汇添富中证油气资源ETF,490,2024-06-18,2026-06-26,1.94,0.15460818958530176,0.35410176531671866,,0.25313415760391084,0.5317662019992127,-0.2955159373311723,0.5231805464760394,76988149.63158332
sz.159310,天弘中证芯片产业ETF,521,2024-04-30,2026-06-26,2.07,0.9061899739875932,1.6903914590747329,,0.3875985319336321,2.2863605018486863,-0.20606060606060606,4.397686638469202,24486867.703333333
sz.159312,广发恒指港股通ETF,394,2024-11-08,2026-06-26,1.56,0.035220547452254,-0.10219594594594594,,0.26164074186117964,0.05817346084551948,-0.2729138166894665,0.1290537352761788,14193610.78045
sz.159315,工银瑞信中证沪深港黄金产业股票ETF,492,2024-06-14,2026-06-26,1.95,0.15331809418420117,0.06035889070146827,,0.38697276718695217,0.34451544265850953,-0.4947532063738826,0.30988802540137445,19191274.340833332
sz.159316,易方达恒生港股通创新药ETF,303,2025-03-26,2026-06-26,1.2,-0.004320079528271847,-0.2887899034892354,,0.3646294557444813,-0.0666980660644006,-0.4331360946745562,-0.00997395410215768,726412331.6714834
sz.159320,广发恒生A股电网设备ETF,361,2024-12-24,2026-06-26,1.43,0.7801937484398187,1.3676012461059188,,0.30390644299497604,2.501407146713193,-0.14356929212362904,5.434266178369017,103288021.01659998
