timestamp,current,high,open,low,close,chg,percent,amount,volume,avg,date
2025-01-03,6635.5291,6804.539,6749.9059,6624.6386,6635.5291,-90.5345,-1.35%,678.11,2884.17,,2025-01-03
2025-01-06,6604.9769,6747.2427,6660.6738,6548.731,6604.9769,-30.5522,-0.46%,591.78,2458.17,,2025-01-06
2025-01-07,6901.0404,6905.5716,6628.3604,6602.491,6901.0404,296.0635,4.48%,748.39,3340.95,,2025-01-07
2025-01-08,6914.4746,6977.5205,6824.388,6714.7458,6914.4746,13.4342,0.19%,798.74,3192.79,,2025-01-08
2025-01-09,6928.9396,6989.123,6890.5531,6887.353,6928.9396,14.465,0.21%,757.34,2444.61,,2025-01-09
2025-01-10,6752.5507,6947.4813,6909.7845,6752.5507,6752.5507,-176.3889,-2.55%,778.99,2588.06,,2025-01-10
2025-01-13,6678.5261,6766.7864,6675.4399,6628.4854,6678.5261,-74.0246,-1.10%,578.72,2051.38,,2025-01-13
2025-01-14,6977.4008,6986.7456,6706.7121,6591.8597,6977.4008,298.8747,4.48%,839.89,2987.07,,2025-01-14
2025-01-15,6965.5574,7032.3793,6954.694,6902.9919,6965.5574,-11.8434,-0.17%,732.09,2400.86,,2025-01-15
2025-01-16,6931.1905,7063.4325,7000.6182,6847.2346,6931.1905,-34.3669,-0.49%,872.23,2589.89,,2025-01-16
2025-01-17,7027.2269,7097.412,6889.5934,6885.3485,7027.2269,96.0364,1.39%,798.13,2383.68,,2025-01-17
2025-01-20,7137.4007,7215.7502,7091.6401,7084.061,7137.4007,110.1738,1.57%,769.66,2466.73,,2025-01-20
2025-01-21,7313.9406,7362.165,7243.0766,7161.1977,7313.9406,176.5399,2.47%,969.0,3148.96,,2025-01-21
2025-01-22,7437.4912,7487.6271,7318.9005,7311.7661,7437.4912,123.5506,1.69%,987.2,2582.82,,2025-01-22
2025-01-23,7309.4613,7564.037,7501.0593,7299.347,7309.4613,-128.0299,-1.72%,984.93,3324.71,,2025-01-23
2025-01-24,7394.6682,7412.5264,7291.4254,7291.4254,7394.6682,85.2069,1.17%,825.67,2835.88,,2025-01-24
2025-01-27,7178.8329,7316.6144,7305.2238,7178.8329,7178.8329,-215.8353,-2.92%,767.25,2437.55,,2025-01-27
